Length,Weight,Fec,SC,Year
346,372,163250,Fall,1970s
352,369,191345,Fall,1970s
334,321,136711,Fall,1970s
323,309,154911,Fall,1970s
352,360,175887,Fall,1970s
325,259,187175,Fall,1970s
354,328,125405,Fall,1970s
341,346,163318,Fall,1970s
318,241,126365,Fall,1970s
338,273,103376,Fall,1970s
298,218,65341,Fall,1970s
379,372,200353,Fall,1970s
354,377,193513,Fall,1970s
332,287,115425,Fall,1970s
309,247,57744,Fall,1970s
332,303,57184,Fall,1970s
331,310,49036,Fall,1970s
328,274,66414,Fall,1970s
314,277,79929,Fall,1970s
325,302,126257,Fall,1970s
335,326,65504,Fall,1970s
316,235,48003,Fall,1970s
322,295,46701,Fall,1970s
298,330,139741,Fall,1970s
322,323,145121,Fall,1970s
325,348,176818,Fall,1970s
306,228,50639,Fall,1970s
344,348,172243,Fall,1970s
315,295,109786,Fall,1970s
350,339,71295,Fall,1970s
334,313,109919,Fall,1970s
345,373,169833,Fall,1970s
318,291,86177,Fall,1970s
363,468,191260,Fall,1970s
340,370,103405,Fall,1970s
340,358,206943,Fall,1970s
381,548,176685,Fall,1970s
342,382,165457,Fall,1970s
311,286,108704,Fall,1970s
319,322,148909,Fall,1970s
298,260,78671,Fall,1970s
325,335,186665,Fall,1970s
297,266,90046,Fall,1970s
327,329,151230,Fall,1970s
296,232,81523,Fall,1970s
383,502,188647,Fall,1970s
367,460,148496,Fall,1970s
330,305,88798,Fall,1970s
328,361,186248,Fall,1970s
361,456,206305,Fall,1970s
370,492,142779,Fall,1970s
315,275,123678,Fall,1970s
315,321,125107,Fall,1970s
304,277,122668,Fall,1970s
368,493,164390,Fall,1970s
327,342,107060,Fall,1970s
328,328,174661,Fall,1970s
358,469,179306,Fall,1970s
345,421,192081,Fall,1970s
346,371,183182,Fall,1970s
328,365,168212,Fall,1970s
381,551,202497,Fall,1970s
316,305,125100,Fall,1970s
310,294,136288,Fall,1970s
360,345,126794,Spring,1970s
367,338,178930,Spring,1970s
358,342,133736,Spring,1970s
356,323,145980,Spring,1970s
355,339,128244,Spring,1970s
343,342,104865,Spring,1970s
340,295,39656,Spring,1970s
355,350,118671,Spring,1970s
351,314,97774,Spring,1970s
372,381,125979,Spring,1970s
365,352,99712,Spring,1970s
338,275,150936,Spring,1970s
365,373,143966,Spring,1970s
354,331,120092,Spring,1970s
357,372,143371,Spring,1970s
285,156,44787,Spring,1970s
368,360,104414,Spring,1970s
342,331,102223,Spring,1970s
358,335,118188,Spring,1970s
341,310,108705,Spring,1970s
329,254,94907,Spring,1970s
350,325,105407,Spring,1970s
375,330,120027,Spring,1970s
356,322,169679,Spring,1970s
333,270,118222,Spring,1970s
316,237,76710,Spring,1970s
363,332,103515,Spring,1970s
352,275,124581,Spring,1970s
329,260,90929,Spring,1970s
355,357,79038,Spring,1970s
350,320,118013,Spring,1970s
329,259,57171,Spring,1970s
354,352,118632,Spring,1970s
362,330,112814,Spring,1970s
370,382,148361,Spring,1970s
358,339,139862,Spring,1970s
359,356,91066,Spring,1970s
345,312,108905,Spring,1970s
345,322,90764,Spring,1970s
350,295,96593,Spring,1970s
346,321,96930,Spring,1970s
